Chronologic VCS simulator copyright 1991-2022
Contains Synopsys proprietary information.
Compiler version T-2022.06_Full64; Runtime version T-2022.06_Full64;  Mar 29 18:07 2023
                   0       IDLE       IDLE SR: xxxxxxxxxxxxx Char: xx 0 x 0 String:                                                                 
              358721       SYNC       SYNC SR: 1001111110010 Char: 15 1 0 0 String:                                                               So
              362697       SYNC     SAMPLE SR: 1001111110010 Char: 15 1 0 0 String:                                                               So
              362699     SAMPLE      WAIT1 SR: 1001111110010 Char: 15 1 0 0 String:                                                               So
              362701      WAIT1      WAIT1 SR: 0011111100101 Char: 15 1 0 0 String:                                                               So
              370651      WAIT1     SAMPLE SR: 0011111100101 Char: 15 1 0 0 String:                                                               So
              370653     SAMPLE      WAIT1 SR: 0011111100101 Char: 15 1 0 0 String:                                                               So
              370655      WAIT1      WAIT1 SR: 0111111001011 Char: 7c 0 0 0 String:                                                               So
              373824      WAIT1       SYNC SR: 0111111001011 Char: 7c 0 0 0 String:                                                               So
              373825       SYNC       SYNC SR: 0111111001011 Char: 7c 0 0 0 String:                                                               So
              377801       SYNC     SAMPLE SR: 0111111001011 Char: 7c 0 0 0 String:                                                               So
              377803     SAMPLE      WAIT0 SR: 0111111001011 Char: 7c 0 0 0 String:                                                               So
              377805      WAIT0      WAIT0 SR: 1111110010110 Char: 78 0 0 0 String:                                                               So
              385755      WAIT0     SAMPLE SR: 1111110010110 Char: 78 0 0 0 String:                                                               So
              385757     SAMPLE      WAIT0 SR: 1111110010110 Char: 78 0 0 0 String:                                                               So
              385759      WAIT0      WAIT0 SR: 1111100101100 Char: 15 1 0 0 String:                                                               So
              388928      WAIT0       SYNC SR: 1111100101100 Char: 15 1 0 0 String:                                                               So
              388929       SYNC       SYNC SR: 1111100101100 Char: 15 1 0 0 String:                                                               So
              392905       SYNC     SAMPLE SR: 1111100101100 Char: 15 1 0 0 String:                                                               So
              392907     SAMPLE      WAIT1 SR: 1111100101100 Char: 15 1 0 0 String:                                                               So
              392909      WAIT1      WAIT1 SR: 1111001011001 Char: 15 1 0 0 String:                                                               So
              400859      WAIT1     SAMPLE SR: 1111001011001 Char: 15 1 0 0 String:                                                               So
